RUN 	answers-forums 	answers-students 	belief 	headlines 	images 	Mean 	Rank
ECNU-1stSVMALL 	0.7145 	0.7122 	0.7282 	0.7980 	0.8467 	0.7696 	19
ECNU-2ndSVMONE 	0.6865 	0.7329 	0.6977 	0.8196 	0.8358 	0.7701 	18
ECNU-3rdMTL 	0.6919 	0.7515 	0.6951 	0.8049 	0.8575 	0.7769 	16
ExBThemis-default 	0.6946 	0.7505 	0.7521 	0.8245 	0.8527 	0.7878 	8
ExBThemis-themis 	0.6946 	0.7505 	0.7482 	0.8245 	0.8527 	0.7873 	9
ExBThemis-themisexp 	0.6946 	0.7784 	0.7482 	0.8245 	0.8527 	0.7942 	2
FBK-HLT-RUN1 	0.7131 	0.7442 	0.7327 	0.8079 	0.8574 	0.7831 	12
FBK-HLT-RUN2 	0.7101 	0.7410 	0.7377 	0.8008 	0.8545 	0.7801 	13
FBK-HLT-RUN3 	0.6555 	0.7362 	0.7460 	0.7083 	0.8389 	0.7461 	23
FCICU-Run1 	0.6152 	0.6686 	0.6109 	0.7418 	0.7853 	0.7022 	41
FCICU-Run2 	0.3659 	0.6460 	0.5896 	0.6448 	0.6194 	0.5970 	59
FCICU-Run3 	0.7091 	0.7096 	0.7184 	0.7922 	0.8223 	0.7595 	20
IITNLP-FirstRun 	0.3728 	0.6605 	0.7717 	0.5996 	0.8523 	0.6712 	47
MathLingBudapest-embedding 	0.7039 	0.7004 	0.7325 	0.7690 	0.8038 	0.7478 	22
MathLingBudapest-hybrid 	0.7231 	0.7513 	0.7473 	0.8037 	0.8442 	0.7836 	11
MathLingBudapest-machines 	0.6977 	0.7455 	0.7363 	0.8046 	0.8414 	0.7771 	15
MiniExperts-Run1 	0.6781 	0.7304 	0.6294 	0.6912 	0.8109 	0.7216 	33
MiniExperts-Run2 	0.6454 	0.7093 	0.5165 	0.6084 	0.7999 	0.6746 	45
MiniExperts-Run3 	0.6179 	0.6977 	0.3236 	0.5775 	0.7954 	0.6353 	55
NeRoSim-R1 	0.5260 	0.7251 	0.6311 	0.8131 	0.8585 	0.7438 	24
NeRoSim-R2 	0.6940 	0.7446 	0.7512 	0.8077 	0.8647 	0.7849 	10
NeRoSim-R3 	0.6778 	0.7357 	0.7220 	0.8123 	0.8570 	0.7762 	17
RTM-DCU-1stPLS.svr 	0.5484 	0.5549 	0.6223 	0.7281 	0.7189 	0.6468 	50
RTM-DCU-2ndST.svr 	0.5484 	0.5549 	0.6223 	0.7281 	0.7189 	0.6468 	51
RTM-DCU-3rdST.rr 	0.5484 	0.5549 	0.6223 	0.7281 	0.7189 	0.6468 	52
Samsung-alpha 	0.6589 	0.7827 	0.7029 	0.8342 	0.8701 	0.7920 	4
Samsung-beta 	0.6586 	0.7819 	0.6995 	0.8342 	0.8713 	0.7916 	7
Samsung-delta 	0.6639 	0.7825 	0.6952 	0.8417 	0.8634 	0.7918 	6
SemantiKLUE-RUN1 	0.4913 	0.7005 	0.5617 	0.6681 	0.7915 	0.6717 	46
SopaLipnIimas-MLP 	0.6178 	0.5864 	0.6886 	0.8121 	0.8184 	0.7175 	36
SopaLipnIimas-RF 	0.6709 	0.5914 	0.7238 	0.8123 	0.8414 	0.7356 	27
SopaLipnIimas-SVM 	0.5918 	0.5718 	0.7028 	0.7985 	0.8104 	0.7070 	39
T2a-TrWP-run1 	0.6857 	0.6618 	0.6769 	0.7709 	0.7865 	0.7251 	31
T2a-TrWP-run2 	0.6857 	0.6618 	0.7245 	0.7709 	0.7865 	0.7311 	30
T2a-TrWP-run3 	0.6857 	0.6612 	0.6772 	0.7710 	0.7865 	0.7250 	32
TATO-1stWTW 	0.6796 	0.6853 	0.7206 	0.7667 	0.8167 	0.7422 	25
UBC-RUN1 	0.4764 	0.5459 	0.6788 	0.6368 	0.7852 	0.6364 	53
UMDuluth-BlueTeam-Run1 	0.6561 	0.7816 	0.7363 	0.8085 	0.8236 	0.7775 	14
UQeResearch-AllRuns-run1 	0.5923 	0.6876 	0.5904 	0.7521 	0.7817 	0.7032 	40
UQeResearch-AllRuns-run2 	0.6132 	0.6882 	0.6229 	0.7602 	0.7855 	0.7130 	37
UQeResearch-AllRuns-run3 	0.6188 	0.6757 	0.7178 	0.7549 	0.7769 	0.7189 	35
USAAR_SHEFFIELD-modelx 	0.3706 	0.3609 	0.4767 	0.5183 	0.5436 	0.4616 	68
USAAR_SHEFFIELD-modely 	0.6264 	0.7386 	0.7050 	0.7927 	0.8162 	0.7533 	21
USAAR_SHEFFIELD-modelz 	0.4237 	0.6757 	0.6994 	0.5239 	0.6833 	0.6111 	58
WSL-run1 	0.3759 	0.5269 	0.6387 	0.5462 	0.5710 	0.5379 	66
WSL-run2 	0.4287 	0.6028 	0.5231 	0.6029 	0.4879 	0.5424 	65
WSL-run3 	0.3709 	0.5437 	0.6478 	0.5752 	0.6407 	0.5672 	64
Yamraj-1stRUNNAME 	0.5634 	0.6727 	0.6387 	0.6067 	0.7425 	0.6558 	48
Yamraj-2ndRUNNAME 	0.4367 	0.4716 	0.4890 	0.5533 	0.4799 	0.4919 	67
Yamraj-3rdRUNNAME 	0.5168 	0.5835 	0.6540 	0.5861 	0.6097 	0.5912 	60
yiGou-midbaitu 	0.5797 	0.6571 	0.6473 	0.7115 	0.8036 	0.6964 	42
yiGou-xiaobaitu 	0.6102 	0.6872 	0.6065 	0.7369 	0.8133 	0.7114 	38
*UBC-RUN1 	0.4764 	0.5459 	0.6788 	0.6368 	0.7852 	0.6364 	54
